Fecha,Variación
06/12/2016,0.7895
06/11/2016,0.7504
06/10/2016,0.7292
06/09/2016,0.8767
06/08/2016,0.8998
06/07/2016,0.8687
06/06/2016,0.9006
06/05/2016,0.8738
06/04/2016,1.0733
06/03/2016,1.2245
06/02/2016,1.1921
06/01/2016,1.0569
06/12/2015,1.1219
06/11/2015,0.9655
06/10/2015,0.9913
06/09/2015,0.926
06/08/2015,0.8746
06/07/2015,0.8072
06/06/2015,0.8835
06/05/2015,0.8584
06/04/2015,0.7741
06/03/2015,0.8969
06/02/2015,0.8843
06/01/2015,0.8141
06/12/2014,0.8308
06/11/2014,0.6895
06/10/2014,0.7851
06/09/2014,0.7872
06/08/2014,0.7986
06/07/2014,0.6988
06/06/2014,0.7623
06/05/2014,0.7938
06/04/2014,0.8006
06/03/2014,0.7695
06/02/2014,0.48
06/01/2014,0.6936
06/12/2013,0.6981
06/11/2013,0.8293
06/10/2013,0.6787
06/09/2013,0.6857
06/08/2013,0.6605
06/07/2013,0.6662
06/06/2013,0.6838
06/05/2013,0.7141
06/04/2013,0.561
06/03/2013,0.6139
06/02/2013,0.6357
06/01/2013,0.5873
06/12/2012,0.4655
06/11/2012,0.7087
06/10/2012,0.7022
06/09/2012,0.7266
06/08/2012,0.6694
06/07/2012,0.6884
06/06/2012,0.7039
06/05/2012,0.7221
06/04/2012,0.7335
06/03/2012,0.5218
06/02/2012,0.4235
06/01/2012,0.4228
06/12/2011,0.5485
06/11/2011,0.4857
06/10/2011,0.6349
06/09/2011,0.5998
06/08/2011,0.616
06/07/2011,0.6282
06/06/2011,0.6465
06/05/2011,0.5741
06/04/2011,0.6522
06/03/2011,0.5915
06/02/2011,0.4976
06/01/2011,0.4706
06/12/2010,0.4894
06/11/2010,0.7682
06/10/2010,0.6268
06/09/2010,0.5724
06/08/2010,0.6595
06/07/2010,0.7287
06/06/2010,0.7339
06/05/2010,0.7582
06/04/2010,0.8287
06/03/2010,0.847
06/02/2010,0.708
06/01/2010,0.6958
06/12/2009,0.6176
06/11/2009,0.6716
06/10/2009,0.6418
06/09/2009,0.7083
06/08/2009,0.6998
06/07/2009,0.6439
06/06/2009,0.6741
06/05/2009,0.5868
06/04/2009,0.6539
06/03/2009,0.5794
06/02/2009,0.5679
06/01/2009,0.5955
06/12/2008,0.5635
06/11/2008,0.6703
06/10/2008,0.669
06/09/2008,0.5318
06/08/2008,0.5594
06/07/2008,0.5796
06/06/2008,0.5314
06/05/2008,0.5011
06/04/2008,0.4827
